question,dataset_score,chatbot_score
6368843d07455a1895c140aad31b079e,10.0,6.0
2968ca9c21a2b09a91ff8603bf92ac53,9.0,7.0
83849d6bf0982f40c158e8047aed09d8,8.0,6.0
94152a69ad1c7790b9809ced3d203a00,9.0,5.0
39dc3348dc6c6a01aea6bf82f678912f,8.0,5.0
2b702b35517bc888174510dbbf356800,8.0,7.0
48879a88dac60a40cc58da1873780d7c,9.0,6.0
4e7c35dcd8e403ced31e897f6102f79e,9.0,8.0
ab2f3bf1ffa3993fc4ad8445ba8657b6,9.0,8.0
75cd61f16ed30351a8c5891831330b6d,9.0,7.0
57a209bf0ce8e6427c33ef36d90bcfa9,8.0,6.0
20ee222657f7eea8e7014d1658ec2dcc,9.0,8.0
3928381f307912873bd528701a0beba2,9.0,8.0
70cb6924e4e51c68c62371d3e9d3121d,8.0,5.0
7c87e9840b9328aeae7b5934663ac1ba,8.0,6.0
dbb0c1f88a3e2bc6b8563160d1992f7b,9.0,5.0
7421c9771c570cba6ca02473aea6dc31,7.0,6.0
b7e8a2f74c40882bcdd634056444cff7,10.0,6.0
60900bd72c57d251ab96f1ac5e767137,8.0,7.0
cef4c80613ce71a54067f9705af3ab34,7.0,4.0
500144f43b0d30422641dbe293e8c3cb,9.0,7.0
b075b83286bc5af323d2fe42f4142531,8.0,7.0
353763b421a690746b2c85198342cf0e,9.0,8.0
2fad88b1e1772b3b3cc657b856830e41,0.0,5.0
5000964dfe40333d22665b1831d1c3a7,7.0,6.0
204fbbe4789e17fdebdd32b48bc18285,9.0,7.0
059eee0ce5fd4d9ed470c070091e2945,10.0,3.0
ec634e2cc63267c68427ed7aea103bb9,8.0,6.0
75ded6fd555d7b25db9a40b83ca041a4,10.0,6.0
c4d6a673b0fe109043d30ebb12d24acd,9.0,7.0
187e84e3d4e7860db8e66198da00f5f8,9.0,6.0
62b34cbfb986d9dd4384ba02098f05af,7.0,6.0
4662b470da8f3fbb4b1c22f2781e5e45,9.0,7.0
976cffdce7a53f5aa988f89221157e77,10.0,3.0
588daee0e8f23289e9c8276433f215a6,8.0,6.0
9340e7d731bcf50adb70b68ffb1e4524,8.0,7.0
70ae28af368e56983973edf5e11b846b,9.0,7.0
feb11128fc120703b5e3b0f564074ebd,9.0,7.0
594ea0682f2329c1a17eb0706e66f7a4,8.0,6.0
331c3621ae34ee14da98f378711f3a67,9.0,5.0
e6abf5bd82dbe1eedf620a7082fa1a2e,9.0,7.0
1312b76e057b427de8e959e18507185f,9.0,7.0
b67b1093feb6860e641a81e707f89310,8.0,6.0
610ec5b75895ef7863c906298781cc22,7.0,8.0
3239266ca9964bccae7c71fa2c5ac971,9.0,4.0
989d6029acccc68f486edcaf3d323f3c,5.0,6.0
c7af9600c0f7dbd8bbeabaf67b62a79e,8.0,6.0
2925f32c212ff23fed5f3c8c91b60ebd,9.0,6.0
5c24db9a98a48867d3457e0cf0ba7957,9.0,6.0
34b7282ce30471823880bd945a718cfa,6.0,1.0
37c2c2e04bffc1d909f595f2403930da,9.0,8.0
95f5813353507a54e924a5b56023fb73,8.0,5.0
5957ec8a24241325cc7dc6cff820a926,8.0,3.0
367bf08b76935d143025f3679b655041,9.0,8.0
01ebacd6c1d56d9a3d68fa65066cbb29,9.0,6.0
33d78c8c91b2f53e663a6a64404cad34,8.0,6.0
809259f1fa55dab9ceaa10f3eade63f6,7.0,5.0
91807d30a875e8331dcaad557fe35a19,9.0,7.0
556b2a6ab476a40ad0b2677d7f30b251,8.0,6.0
d39bff212b9370202718c6780e920a03,8.0,6.0
fff62eea32e1a6a6c042c0e8a8f38600,8.0,8.0
d3794d76584b74a4731c04711eb55fc3,8.0,9.0
50f65d0d7845aa1b07aa44600f62cb55,8.0,7.0
86f1d63675416dcd177210db43fe002c,7.0,8.0
fd69294c22d20dfbfa31ca9c16dfe1eb,10.0,6.0
59c7e392cc550e1b2133b26ac6bef2b2,7.0,6.0
af437e32c22cd85e1f2357af154b7add,10.0,7.0
5fbdbda1d73354e32a57bf7e068d3992,7.0,8.0
4b0f0d2977204a83242a6b5bc6138516,8.0,7.0
8c8edad0cef40c9c088bb3a67315b12f,8.0,4.0
37065f41d8f96809306a0d1d4b03dfad,8.0,4.0
1e24d1e29f1af88bcd18f93698612586,7.5,6.5
42a0b2d00dfd87f942ed3ee58ff04d58,8.0,6.0
d89178209143b118ddee88d4aff424e1,10.0,6.0
f5670e471e11a6864c60c46ce42f9948,9.0,6.0
1bf5302ae8b6ec1723847877a328b00c,7.0,6.0
64e4df444ba5abef6d0d6db2031e25b1,8.0,2.0
e393f6a6cf75401b84c8b5a7b0bb066f,8.0,7.0
3690d689a46e7f7dd427e4820ec385dd,8.0,6.0
8c631c6d4445d4c0c833b2b56b23dc85,8.0,3.0
a7bda5ae3b6182eedfede89483190826,9.0,8.0
492ca7df8d57b175e46aa878d4bec945,7.0,8.0
a43678f6fdc4ccb4bb59e4033d07d228,8.0,3.0
eea5299a47c0cac74964c69151202f40,8.0,7.0
2f98ec9e5877f53f78667b357081fe13,8.0,6.0
9b674f377d6745c6a21923de2c2b09dd,7.0,3.0
562d0413494d6a7e88b2d7aad64b9e07,7.0,8.0
946447c924e6a3ddb6763a299e360e04,9.0,7.0
649d8b8ba4850b239d7ce9ce14777d5b,7.0,3.0
2692560c19daa179d1a89b53b3fc369a,10.0,4.0
742f00ebefd33515e2bb3414fd6b60c9,7.0,6.0
b258582b08e28f18a08d2c7c55b822f3,8.0,7.0
3199419f582a8dc63de8d9433da7caa1,9.0,5.0
c27067a0d3c6a388b681496547d77b32,7.0,6.0
8fb273db223c849a91f88b9beb4ce152,8.0,7.0
8eaff0c76768587b038a9c3d81522be6,8.0,7.0
61f7bf29dd9825360b01dacf25a8da8a,8.0,6.0
5bcdfae43625036dcd1ba6049892f5d3,8.0,6.0
8f984dbf3248d089603d945761fd8cff,9.0,7.0
4b7a59547c2cfa948bdd8bcce5c933be,8.0,6.0
645cda7e366111372022a5c5b48bea1f,9.0,9.0
4f72e931795c486b1c9fee9e3078c9e1,7.0,6.0
bf2f359216990b540ac36541b1dda507,5.0,6.0
3a285f7c43152728ad89c441b09421f0,7.0,6.0
8b59101548507bb7053609b5b0e63804,8.0,6.0
2bd124f2aefcb0e79ebb08a2b02a3f59,8.0,7.0
a41e298820d66b35de0339e590b0d2b9,9.0,8.0
d8898cc690afcc1c3c52e3a4393ede8b,8.0,7.0
5f2eb88f2ecb89c65c1347436f7a26a1,9.0,7.0
0641d298a43785a8e8d40a15d5028170,8.0,7.0
e84fb4596949b55bf9a1cbdfc4a63557,8.0,7.0
416ff40b9c9609a181ef911702ec0fb1,8.0,5.0
a2a290fd31d4cb9dc0793189f54ad0c0,7.0,5.0
0aae152d98c4b04e47c65242054da29b,7.0,9.0
00b43f63400f9cdc3e1f7c1642fe3fd1,2.0,8.0
2aaf5750fcda3ec91d027651697cd530,7.0,6.0
14c484fbed8636b693cf96beb63a711e,9.0,6.0
de551e7c2ad2ff8aa1aee144f83e5c31,7.0,6.0
2b8204ab7fdb95fcb94e0591029b7cad,6.0,8.0
2b5cb87d0ad343f660b84ed4ed5f629c,8.0,7.0
cedb1f1f7d9accae73e679c7e359eee1,8.0,5.0
0a19c0099fe5fd737cbdcfa4a82517df,8.0,4.0
cb3e6751b3e7358e728e434eefa9109e,8.0,6.0
96b66bc3bc3bb1bbab5947fda8c09468,7.0,6.0
4b2c44004b42ef677ea3803cff613b0b,8.0,5.0
b9c3ab756b48a18954f31ccc0783138f,7.0,5.0
817b7dc4fa648913b544a49929f22179,8.0,7.0
137c7d51bd493f148be1770db38eac1f,9.0,3.0
0c287e3931e222786467ede11ce5beeb,9.0,7.0
4db62e82a9c07f25acaddd88c1546b1e,8.0,7.0
e3319a45f4f67057d75d9e311ca992fd,8.0,5.0
45680ee58833efe4ebec1ebc8c9f5921,8.0,7.0
2225981db59cf5068de360bcadbae0d0,8.0,7.0
5fe931fa8b4a751811a4dca896f61a9c,10.0,7.0
7a534c171ffe8c1aad8a9b1f488b8cb5,9.0,6.0
9a0ab0de5a51ca0ef3323e36f709145e,8.0,7.0
fb69937b49b60376734710b5e26acd08,9.0,5.0
e7c9370d0b0b2d7d591290bf57c1ce47,7.0,5.0
d40adb5f23c335442e9387f305e58d18,8.0,6.0
4ba537a3cfb9ce2dc63ce1d15115c05e,9.0,7.0
09df323c8760e81c64f2acbc3f1ba8a0,9.0,7.0
0daed31dcdc7574ddd5f78d63f9c16e4,9.0,7.0
081dae09650453a82ccdf8c1fbf1a59e,8.0,4.0
3641f3a7c2cb482f4470dcc28165575c,8.0,5.0
1955d5cd61bf55ea0092273adb4bd666,9.0,7.0
